marital,family,ses,cig1,gender,age
0,1,-0.773,3,1,11.53
0,1,-0.773,2,1,33
0,1,-0.556,3,1,14.58
0,1,-0.556,4,1,36
0,1,-0.514,5,0,14.61
0,1,-0.514,3,1,36
1,2,0.756,3,1,14.9
1,2,0.756,1,1,32
0,1,-0.638,1,0,13.47
1,2,0.896,2,1,15.2
1,2,0.896,1,1,38
1,2,0.896,1,0,44
0,1,-0.689,1,0,12.01
1,1,0.519,1,1,11.02
1,1,0.519,1,0,13.23
1,1,0.519,1,1,38
1,1,0.519,1,0,43
0,2,-0.197,2,0,11.2
0,2,-0.197,2,0,14.04
0,2,-0.197,4,1,35
1,2,0.471,1,1,29
1,2,0.471,1,0,45
1,1,0.119,1,1,13.7
1,1,0.119,2,1,35
1,1,0.119,2,0,39
0,2,-0.976,5,1,14.29
0,2,-0.976,3,1,32
1,1,0.745,1,1,11.26
1,1,0.745,4,1,27
0,1,-0.886,1,1,11.51
0,1,-0.886,1,1,12.79
0,1,-0.766,3,1,14.96
0,1,-0.766,2,1,25.11
0,1,-0.603,2,0,14.02
0,1,-0.556,3,1,13.97
0,1,-0.556,3,0,16.55
0,1,-0.556,1,1,40
0,2,-0.983,1,1,36
0,1,-0.409,2,0,13.02
0,1,-0.409,2,1,43
0,1,-1.096,1,0,12.31
0,1,-1.096,2,1,33
1,2,0.809,1,1,27
0,1,-1.209,5,1,14.28
0,1,-1.209,4,1,32
0,1,-0.549,1,1,11.46
0,1,-0.549,1,0,13.82
0,1,-0.549,1,1,37
0,2,-0.948,3,0,11.09
0,2,-0.948,3,1,13.82
1,2,0.826,2,1,12.1
1,2,0.826,2,1,38
1,2,0.826,3,0,28
0,1,-0.638,1,1,12.18
0,1,-0.836,2,1,13.6
0,1,-0.836,2,1,37
0,2,0.309,1,0,11.97
0,2,0.309,2,1,36
0,1,-0.463,2,0,12.23
0,1,-0.463,2,1,14.08
1,1,0.729,1,0,12.46
1,2,1.319,1,1,12.1
1,2,1.319,1,1,14.17
1,2,1.319,2,0,50
1,2,0.604,1,0,12.31
1,2,0.604,2,1,28
1,2,0.604,2,0,29
1,1,0.911,3,1,15.56
1,1,0.911,2,1,42
1,1,0.911,4,0,45
0,2,-0.106,2,1,11.02
0,2,-0.106,3,1,32
0,1,-0.766,2,1,30
0,1,-0.829,2,1,15.75
1,1,1.136,2,0,13.35
1,1,1.136,2,1,15.42
1,1,1.136,1,1,37
1,1,1.159,1,0,11.6
1,1,1.159,1,1,15.42
1,1,1.159,1,1,43
1,1,1.159,1,0,43
1,1,0.069,2,1,14.68
1,1,0.069,2,0,18.26
1,1,0.069,4,0,53
1,1,1.248,1,0,11.72
1,1,1.248,1,0,13.09
1,1,1.248,1,0,36
1,1,1.458,1,0,12.51
1,1,1.458,2,0,42
0,1,-0.584,2,1,39
1,2,1.234,2,0,12.61
1,2,1.234,2,0,38
0,1,-0.983,1,1,12.79
0,1,-0.983,2,1,36
1,1,1.016,1,0,11.36
1,1,1.016,1,1,50
1,1,1.016,1,0,50
1,1,1.122,3,1,15.95
1,1,1.122,1,1,34
1,1,1.122,2,0,52
0,1,-0.751,2,1,15.56
0,1,-0.751,4,1,33
1,1,0.209,4,1,33
1,1,0.209,4,0,38
1,1,0.351,3,1,14.02
1,1,0.351,3,1,15.69
1,1,0.351,1,0,41
1,1,0.616,1,1,12.34
1,1,0.616,1,1,29
1,1,0.616,1,0,31
0,1,-0.773,1,1,31
1,2,-0.479,2,1,15.16
1,2,-0.479,2,1,39
1,1,0.694,1,0,11.82
1,1,0.736,2,0,14.14
1,1,0.736,1,1,36
0,1,-0.393,3,1,12.92
0,1,-0.393,1,1,43
1,2,0.307,1,0,13.6
1,2,0.307,1,1,27
1,2,0.307,2,0,27
0,1,-1.053,2,1,11.43
0,1,-1.053,2,1,37
1,2,-1.243,2,0,12.46
1,2,-1.243,4,1,30
0,1,-0.751,3,0,10.78
0,1,-0.751,5,1,34
1,2,1.023,1,1,14.01
1,2,1.023,2,1,27
1,2,1.023,1,0,33
0,1,-0.948,1,0,12.01
1,1,0.279,1,1,14.42
1,1,0.279,2,0,56
1,1,0.856,1,1,11.17
1,1,0.856,1,1,30
1,1,0.856,1,0,30
1,2,-0.451,1,1,17.56
1,2,0.659,1,1,31
1,1,1.346,2,1,15.99
1,1,1.346,2,1,42
1,1,1.346,1,0,43
1,2,-0.851,2,1,12.44
0,1,-0.871,5,0,13.72
0,1,-0.871,3,1,33
1,1,0.659,1,1,12.1
1,1,0.659,2,1,31
1,1,0.659,1,0,28
1,1,0.196,1,1,15.04
1,1,0.196,2,1,36
1,1,1.121,2,1,43
1,1,1.121,1,0,43
1,2,1.093,1,1,11.27
1,2,1.093,1,1,12.74
1,2,1.093,1,1,38
1,2,1.093,1,0,34
0,1,-1.053,3,1,11.4
0,1,-0.948,3,0,13.44
0,1,-0.948,2,1,36
1,2,1.023,2,1,14
1,2,1.023,2,1,37
1,2,1.023,2,0,36
0,1,-0.751,3,0,14.25
0,1,-0.751,1,1,35
1,2,1.101,2,0,36
0,1,-0.871,2,1,35
0,1,-1.053,1,1,11.81
0,1,-1.053,4,1,37
1,1,0.476,1,0,17.76
1,1,0.476,1,1,54
0,1,-0.808,1,0,11.09
0,1,-0.808,1,0,13.85
0,1,0.918,2,0,13.58
0,1,0.918,2,1,34
0,1,0.918,5,0,39
1,1,0.729,2,0,13.35
1,1,0.729,2,0,17.1
1,1,0.729,1,1,38
1,1,0.729,1,0,41
0,1,-0.444,2,1,37
0,1,-0.836,1,1,12.39
1,1,0.406,1,1,33
1,1,0.996,1,1,11.41
1,1,0.996,1,0,15.95
1,1,0.996,1,1,43
1,1,0.996,3,0,44
1,1,0.651,3,0,14.96
1,1,0.651,1,1,36
1,1,0.651,2,0,36
1,2,-0.374,3,1,38
0,1,-1.026,2,1,33
1,1,0.476,2,1,15.6
1,1,0.476,2,1,42
1,1,0.476,5,0,43
1,1,0.364,1,0,11.81
1,1,0.364,1,1,31
0,1,-0.584,1,1,11.06
0,1,-0.738,5,1,43
0,1,-0.878,1,0,15.02
0,1,-0.878,1,1,18.7
0,1,-0.878,5,1,38
1,1,0.911,1,1,11.46
1,1,0.911,1,0,14.15
1,1,0.911,1,1,16.32
1,1,0.911,1,1,44
1,1,0.911,1,0,44
1,2,-0.913,1,1,33
0,1,-0.379,3,1,42
0,1,-0.921,1,1,14.03
0,1,-0.921,1,0,15.78
0,1,-0.549,3,1,12.86
0,1,-0.549,4,1,43
0,1,-0.976,3,1,11.31
0,1,-0.976,4,1,39
0,1,-0.836,1,0,12.19
0,1,-0.836,1,1,14.55
0,1,-0.836,2,1,36
1,1,0.729,2,0,13.56
0,1,-0.584,1,0,15.52
0,1,-0.584,2,1,47
1,2,0.294,2,0,14.66
1,2,0.294,1,1,36
1,2,0.294,1,0,39
1,1,1.908,3,1,13.36
1,1,1.908,1,1,41
1,1,1.908,1,0,40
0,1,-0.948,1,0,12.84
0,1,-0.463,2,1,10.94
0,1,-0.463,2,0,15.57
0,1,-0.463,2,1,36
1,1,1.179,1,1,12.38
1,1,1.179,1,1,33
1,1,1.179,1,0,36
0,1,-0.409,3,1,14.36
0,1,-0.409,3,1,15.57
0,1,-0.409,1,1,47
1,1,1.388,5,1,13.86
0,1,-0.829,1,0,12.43
0,1,-0.421,3,0,11.38
0,1,-0.421,3,1,18.74
0,1,-1.201,1,0,11.33
0,1,-0.374,3,0,15.51
0,1,-0.374,1,1,42
0,1,-0.808,1,0,15.03
0,1,-0.808,1,0,16.82
0,1,-0.808,5,1,36
0,1,-0.976,3,1,12.6
0,1,-0.976,2,1,39
0,2,0.323,1,1,13.51
0,2,0.323,1,1,37
1,2,0.969,1,0,11.15
1,2,0.969,2,1,28
0,1,-1.088,1,0,11.21
0,1,-1.088,1,1,12.61
0,1,-1.088,2,1,37
1,1,0.126,1,1,11.74
1,1,0.126,2,1,38
1,1,0.126,2,0,34
1,1,1.109,1,0,14.6
1,1,1.109,1,0,36
0,2,-1.313,4,1,29
0,1,-0.921,2,1,15.2
0,1,-0.921,2,0,16.85
0,1,-0.921,2,1,44
1,2,0.329,3,1,11.54
1,2,0.329,4,1,29
0,2,-0.863,2,0,12.07
0,2,-0.863,4,1,33
0,1,-0.878,2,0,14.6
0,1,-0.878,1,1,33
0,1,-0.498,2,0,13.23
0,1,-0.498,1,1,35
0,1,-0.731,3,1,14.19
0,1,-0.731,3,0,16.19
0,1,-0.731,3,0,17.61
0,1,-0.731,2,1,43
1,1,1.264,1,0,13.63
1,1,1.264,2,1,38
1,1,1.234,1,0,14.23
1,1,1.234,1,1,37
1,1,1.234,2,0,46
1,2,-0.226,1,0,12.93
1,2,-0.226,2,1,33
1,2,-0.226,1,0,38
0,1,-1.166,2,1,11.55
0,1,-1.166,2,0,13.2
0,1,-1.166,5,1,33
0,1,-0.591,1,1,11.02
0,1,-0.591,2,0,44
1,1,0.953,1,0,11.7
1,1,0.953,1,1,36
1,1,0.953,1,0,37
1,1,1.136,1,1,13.54
1,1,1.136,1,1,15.71
1,1,1.136,1,1,38
1,1,1.136,1,0,39
1,1,1.966,1,1,11.49
1,1,1.966,1,0,14.04
1,1,1.966,1,1,37
1,1,1.966,1,0,60
0,1,-0.661,1,1,11.03
0,1,-0.661,2,1,38
0,1,-0.696,2,1,13.76
0,1,-0.696,2,1,25.11
0,2,0.444,2,1,14.24
0,2,0.444,2,1,11.96
0,2,0.444,2,0,16.46
0,2,0.444,1,1,46
0,1,-0.568,2,0,13.61
0,1,-0.568,4,1,36
0,2,0.316,2,0,16.4
0,2,0.316,4,1,36
1,1,0.476,1,1,15.24
1,1,0.476,1,1,17.63
1,1,0.476,1,1,37
1,1,0.476,1,0,37
1,1,0.896,1,1,11.04
1,1,0.896,2,1,33
1,1,0.896,2,0,33
0,1,-0.654,1,0,12.02
0,1,-0.654,1,1,40
1,1,0.799,1,0,14.77
1,1,0.799,1,0,40
1,2,1.516,2,1,11.66
1,2,1.516,3,1,29
0,1,-0.991,4,1,35
0,1,-0.921,1,1,12.9
0,1,-0.921,1,1,34
0,1,-0.751,2,1,38
1,2,0.659,1,1,12.47
1,2,0.659,1,1,35
0,1,-0.638,2,0,12.36
1,1,1.109,1,1,14.52
1,1,1.109,1,1,45
1,2,0.744,4,1,30
1,2,0.744,3,0,30
0,1,-1.053,1,0,12.77
0,1,-1.053,5,1,33
1,1,0.869,2,1,11.05
1,1,0.869,2,1,12.58
1,1,0.869,2,1,14.25
1,1,0.869,1,1,37
1,1,0.869,2,0,37
1,1,0.721,1,1,11.43
1,1,0.721,1,1,32
0,1,-0.801,1,0,12.16
1,1,0.884,1,0,11
1,1,0.884,1,1,13.43
1,1,0.884,2,1,36
0,1,-0.913,1,1,11.01
0,1,-0.913,2,1,32
1,1,1.151,1,0,12.1
1,1,1.151,1,1,16.25
0,1,-0.533,1,1,12.83
0,1,-0.533,3,1,39
0,2,-0.751,2,1,12.02
0,2,-0.751,2,0,17.59
0,1,-0.611,1,0,11.96
0,1,1.383,1,1,12.31
0,2,0.554,3,1,12.11
1,1,1.023,1,1,36
1,1,1.023,1,0,37
0,2,-1.096,1,1,11.24
0,2,-1.096,1,0,12.26
0,2,-1.096,2,1,35
1,1,0.897,1,1,12.39
1,1,0.897,1,1,39
1,1,1.566,4,0,40
1,1,-0.211,1,1,11.7
1,1,0.814,1,0,11.02
1,1,0.814,2,1,30
1,1,0.814,1,0,35
0,1,-0.731,3,1,38
1,1,-0.196,2,1,11.05
1,1,-0.196,2,1,13.93
1,1,-0.196,2,1,39
0,1,-0.913,2,1,13.86
1,2,1.234,1,0,30
1,1,1.311,1,1,11.55
1,1,1.311,2,1,39
0,1,-0.948,2,0,12.82
0,1,-1.053,2,0,15.7
1,1,0.764,1,0,12.38
1,1,0.764,2,0,41
1,1,0.794,1,1,11.68
1,1,0.794,1,0,13.36
1,1,0.794,1,1,41
1,1,0.794,1,0,41
1,2,-0.141,1,1,11.45
1,2,-0.141,3,1,34
0,1,-0.766,3,1,14.78
0,1,-0.766,3,0,17.52
0,1,-0.766,1,1,42
1,1,0.756,1,0,11.01
